No,Index,Frame,Age,Div_Age,Generation_time
0_1,-1,19,0,-18,98
,-1,68,1,-17,50
,-1,93,2,-16,48
,-1,117,3,-15,70
,-1,152,4,-14,76
,-1,190,5,-13,48
,-1,214,6,-12,74
,-1,251,7,-11,48
,-1,275,8,-10,44
,-1,297,9,-9,30
,-1,312,10,-8,44
,-1,334,11,-7,72
,-1,370,12,-6,82
,-1,411,13,-5,56
,-1,439,14,-4,76
,-1,477,15,-3,106
,-1,530,16,-2,46
,-1,553,17,-1,54
,-1,580,18,0,
,0,607,19,,
,1,634,20,0,
,1,658,21,1,48
,1,692,22,2,68
,1,736,23,3,88
,1,777,24,4,82
,1,801,25,5,48
,1,825,26,6,48
,1,848,27,7,46
,1,883,28,8,70
,1,934,29,9,102
,1,978,30,10,88
,1,1025,31,11,94
,1,1049,32,12,48
,1,1069,33,13,40
,1,1093,34,14,48
,1,1110,35,15,34
,1,1133,36,16,46
,1,1162,37,17,58
,1,1199,38,18,74
,1,1217,39,19,36
,1,1245,40,20,56
,1,1267,41,21,44
,1,1293,42,22,52
,1,1320,43,23,54
,1,1346,44,24,52
,1,1363,45,25,34
,1,1388,46,26,50
,,,,,
0_2,-1,17,0,-18,64
,-1,49,1,-17,72
,-1,85,2,-16,80
,-1,125,3,-15,66
,-1,158,4,-14,60
,-1,188,5,-13,58
,-1,217,6,-12,60
,-1,247,7,-11,88
,-1,291,8,-10,96
,-1,339,9,-9,56
,-1,367,10,-8,42
,-1,388,11,-7,40
,-1,408,12,-6,44
,-1,430,13,-5,60
,-1,460,14,-4,70
,-1,495,15,-3,46
,-1,518,16,-2,48
,-1,542,17,-1,62
,-1,573,18,0,
,0,606,19,,
,1,650,20,0,
,1,674,21,1,48
,1,701,22,2,54
,1,739,23,3,76
,1,796,24,4,114
,1,837,25,5,82
,1,855,26,6,36
,1,878,27,7,46
,1,903,28,8,50
,1,925,29,9,44
,1,977,30,10,104
,1,1001,31,11,48
,1,1023,32,12,44
,1,1045,33,13,44
,1,1065,34,14,40
,1,1089,35,15,48
,1,1116,36,16,54
,1,1133,37,17,34
,1,1149,38,18,32
,1,1171,39,19,44
,1,1193,40,20,44
,1,1213,41,21,40
,1,1230,42,22,34
,1,1257,43,23,54
,1,1282,44,24,50
,1,1310,45,25,56
,1,1335,46,26,50
,1,1368,47,27,66
,1,1391,48,28,46
,,,,,
0_3,-1,2,0,-22,44
,-1,24,1,-21,62
,-1,55,2,-20,98
,-1,104,3,-19,62
,-1,135,4,-18,44
,-1,157,5,-17,54
,-1,184,6,-16,80
,-1,224,7,-15,42
,-1,245,8,-14,46
,-1,268,9,-13,60
,-1,298,10,-12,32
,-1,314,11,-11,38
,-1,333,12,-10,44
,-1,355,13,-9,60
,-1,385,14,-8,38
,-1,404,15,-7,62
,-1,435,16,-6,40
,-1,455,17,-5,30
,-1,470,18,-4,46
,-1,493,19,-3,46
,-1,516,20,-2,58
,-1,545,21,-1,76
,-1,583,22,0,
,1,629,23,0,
,1,660,24,1,62
,1,675,25,2,30
,1,710,26,3,70
,1,773,27,4,126
,1,808,28,5,70
,1,824,29,6,32
,1,844,30,7,40
,1,867,31,8,46
,1,883,32,9,32
,1,903,33,10,40
,1,928,34,11,50
,1,948,35,12,40
,1,981,36,13,66
,1,1078,37,14,194
,1,1103,38,15,50
,1,1131,39,16,56
,1,1151,40,17,40
,1,1166,41,18,30
,1,1195,42,19,58
,1,1227,43,20,64
,1,1247,44,21,40
,1,1274,45,22,54
,1,1298,46,23,48
,1,1319,47,24,42
,1,1337,48,25,36
,1,1363,49,26,52
,1,1389,50,27,52
,,,,,
1_1,-1,13,0,-16,58
,-1,42,1,-15,80
,-1,82,2,-14,44
,-1,104,3,-13,80
,-1,144,4,-12,72
,-1,180,5,-11,102
,-1,231,6,-10,66
,-1,264,7,-9,170
,-1,349,8,-8,72
,-1,385,9,-7,48
,-1,409,10,-6,94
,-1,456,11,-5,56
,-1,484,12,-4,50
,-1,509,13,-3,46
,-1,532,14,-2,58
,-1,561,15,-1,64
,-1,593,16,0,
,1,625,17,0,
,1,644,18,1,38
,1,671,19,2,54
,1,710,20,3,78
,1,783,21,4,146
,1,811,22,5,56
,1,838,23,6,54
,1,868,24,7,60
,1,895,25,8,54
,1,927,26,9,64
,1,966,27,10,78
,1,988,28,11,44
,1,1008,29,12,40
,1,1039,30,13,62
,1,1083,31,14,88
,1,1109,32,15,52
,1,1139,33,16,60
,1,1169,34,17,60
,1,1208,35,18,78
,1,1229,36,19,42
,1,1264,37,20,70
,1,1286,38,21,44
,1,1318,39,22,64
,1,1337,40,23,38
,1,1363,41,24,52
,1,1392,42,25,58
,,,,,
1_2,-1,20,0,-17,38
,-1,39,1,-16,82
,-1,80,2,-15,44
,-1,102,3,-14,66
,-1,135,4,-13,70
,-1,170,5,-12,126
,-1,233,6,-11,108
,-1,287,7,-10,40
,-1,307,8,-9,140
,-1,377,9,-8,36
,-1,395,10,-7,46
,-1,418,11,-6,48
,-1,442,12,-5,86
,-1,485,13,-4,28
,-1,499,14,-3,44
,-1,521,15,-2,48
,-1,545,16,-1,90
,-1,590,17,0,
,1,621,18,0,
,1,652,19,1,62
,1,686,20,2,68
,1,721,21,3,70
,1,747,22,4,52
,1,811,23,5,128
,1,835,24,6,48
,1,864,25,7,58
,1,897,26,8,66
,1,926,27,9,58
,1,962,28,10,72
,1,1083,29,11,242
,1,1156,30,12,146
,1,1178,31,13,44
,1,1221,32,14,86
,1,1246,33,15,50
,1,1264,34,16,36
,1,1305,35,17,82
,1,1331,36,18,52
,1,1358,37,19,54
,1,1399,38,20,82
,,,,,
1_3,-1,13,0,-18,62
,-1,44,1,-17,78
,-1,83,2,-16,62
,-1,114,3,-15,68
,-1,148,4,-14,78
,-1,187,5,-13,88
,-1,231,6,-12,46
,-1,254,7,-11,50
,-1,279,8,-10,76
,-1,317,9,-9,58
,-1,346,10,-8,50
,-1,371,11,-7,64
,-1,403,12,-6,58
,-1,432,13,-5,48
,-1,456,14,-4,62
,-1,487,15,-3,60
,-1,517,16,-2,84
,-1,559,17,-1,66
,-1,592,18,0,
,1,630,19,0,
,1,658,20,1,56
,1,671,21,2,26
,1,699,22,3,56
,1,740,23,4,82
,1,769,24,5,58
,1,795,25,6,52
,1,829,26,7,68
,1,869,27,8,80
,1,900,28,9,62
,1,935,29,10,70
,1,959,30,11,48
,1,1003,31,12,88
,1,1023,32,13,40
,1,1066,33,14,86
,1,1091,34,15,50
,1,1120,35,16,58
,1,1153,36,17,66
,1,1171,37,18,36
,1,1196,38,19,50
,1,1226,39,20,60
,1,1257,40,21,62
,1,1283,41,22,52
,1,1312,42,23,58
,1,1336,43,24,48
,1,1377,44,25,82
,,,,,
2_1,-1,4,0,-17,54
,-1,31,1,-16,74
,-1,68,2,-15,48
,-1,92,3,-14,60
,-1,122,4,-13,114
,-1,179,5,-12,102
,-1,230,6,-11,64
,-1,262,7,-10,64
